Quantity,Tick_1,Tick_2,Tick_3,Tick_4,Tick_5,Tick_6,Tick_7,Tick_8,Tick_9,Tick_10,Tick_11,Tick_12,Tick_13,Tick_14,Tick_15
Limit Buy Mean,34226,9806,2871,1578,1586,1408,948,340,309,156,110,146,109,110,120
Limit Sell Mean,31315,14040,3497,2457,2484,1313,840,376,465,236,196,142,42,28,145
Cancel Buy Mean,60728,79142,24481,10257,5936,13196,3073,3202,1940,1552,452,1046,206,1917,107
Cancel Sell Mean,63225,76744,32968,19979,8266,7105,3966,7192,1625,3150,1660,581,843,708,20
Limit Buy 10-11,64589,9498,4049,1624,867,4473,1535,1385,303,343,285,290,370,122,275
Limit Buy 11-12,33380,6488,3296,774,1054,191,748,577,91,225,1,0,0,500,2
Limit Buy 12-13,19173,6397,2538,1359,615,269,119,0,30,0,20,15,0,0,0
Limit Buy 14-15,27529,10779,1509,1245,260,132,659,145,230,50,110,593,30,0,250
Limit Buy 15-16,30779,14219,3291,1054,862,522,1789,74,870,220,195,0,105,100,50
Limit Buy 16-17,34421,10571,4079,2514,4547,3712,586,181,138,0,160,105,250,45,10
Limit Buy 17-18,29709,10692,1336,2479,2896,558,1197,16,500,252,0,20,10,0,251
Limit Sell 10-11,41820,9821,4095,6900,5238,4628,1625,684,1214,668,672,207,70,56,301
Limit Sell 11-12,33608,17398,4911,3565,1693,633,295,240,1531,147,281,80,53,1,0
Limit Sell 12-13,17152,8806,1016,1561,471,116,234,351,87,499,0,0,0,0,0
Limit Sell 14-15,31101,17318,3624,887,236,502,930,10,173,31,120,50,10,0,0
Limit Sell 15-16,32889,16826,4114,1768,7159,2706,952,614,202,200,120,1,132,141,715
Limit Sell 16-17,35891,17355,4604,1805,1434,106,951,300,0,0,21,263,30,0,0
Limit Sell 17-18,26742,10753,2117,711,1154,496,894,433,50,104,160,390,1,0,0
Cancel Buy 10-11,60083,119310,32363,15242,6433,39814,7274,13188,3257,1251,367,6832,1441,10557,322
Cancel Buy 11-12,68220,111468,32206,13143,5982,3695,54,714,730,0,1442,0,0,53,165
Cancel Buy 12-13,49556,101023,19878,11704,2654,0,5165,49,0,498,0,1,0,0,0
Cancel Buy 14-15,59421,49171,7811,6406,1146,4681,0,0,452,275,99,17,0,0,0
Cancel Buy 15-16,35762,51047,15845,8455,1522,387,137,277,4146,0,0,200,0,1978,0
Cancel Buy 16-17,72011,79318,36280,13602,10476,36744,8849,7700,4928,18,4,0,0,0,81
Cancel Buy 17-18,80044,42653,26982,3247,13335,7049,27,483,65,8823,1249,275,0,828,184
Cancel Sell 10-11,86283,35347,40371,37288,16011,3385,209,18171,87,146,155,31,3,450,0
Cancel Sell 11-12,50970,125331,30764,28753,8896,5879,3541,10191,32,893,3007,3543,5727,239,0
Cancel Sell 12-13,27296,54929,13925,6876,2601,2699,1888,599,3,2931,550,0,0,1,2
Cancel Sell 14-15,78432,86629,21597,12346,4309,12478,5165,6528,10010,4236,5027,195,0,161,0
Cancel Sell 15-16,90086,63479,21468,14697,16239,15425,8404,1220,815,6246,0,224,167,0,1
Cancel Sell 16-17,50804,123308,70389,30142,2782,2241,1438,12651,366,7195,7,69,0,3989,0
Cancel Sell 17-18,58705,48187,32261,9753,7025,7627,7118,984,59,403,2872,2,0,118,136
