Quantity,Tick_1,Tick_2,Tick_3,Tick_4,Tick_5,Tick_6,Tick_7,Tick_8,Tick_9,Tick_10,Tick_11,Tick_12,Tick_13,Tick_14,Tick_15
Limit Buy Mean,24741,7322,1118,518,759,763,338,349,144,281,27,15,2,9,87
Limit Sell Mean,26904,7485,2144,1183,2719,1183,475,205,254,256,15,281,138,100,72
Cancel Buy Mean,96152,69308,30445,9061,6637,3935,1263,5851,1225,1812,844,2256,291,101,319
Cancel Sell Mean,102282,58617,41414,21518,22697,17007,7670,3584,865,7718,1803,1736,4329,3339,0
Limit Buy 10-11,27733,7838,2299,740,1582,1423,763,378,270,440,0,100,2,0,600
Limit Buy 11-12,31282,6891,650,429,192,1531,404,500,20,5,0,0,0,0,0
Limit Buy 12-13,12550,5973,399,712,125,1010,1,20,0,0,76,5,0,0,0
Limit Buy 14-15,24076,5586,774,124,947,82,982,6,6,101,100,0,0,50,0
Limit Buy 15-16,14675,4357,970,177,227,10,0,0,63,400,1,0,0,0,0
Limit Buy 16-17,24288,7608,1250,642,1440,350,0,0,41,10,10,0,10,10,10
Limit Buy 17-18,38580,12999,1485,800,801,935,220,1539,609,1010,0,0,0,0,0
Limit Sell 10-11,38977,8562,3422,2949,3489,2232,510,1125,516,980,100,1135,110,1,502
Limit Sell 11-12,31671,7570,2047,471,2560,419,1213,100,1,654,0,250,307,250,0
Limit Sell 12-13,14298,2558,1509,1933,4229,963,103,3,5,125,0,0,50,0,0
Limit Sell 14-15,25800,10220,1580,1121,2781,1497,345,30,250,0,0,538,0,446,0
Limit Sell 15-16,9886,2572,1767,206,1546,769,15,30,1003,30,0,0,0,0,0
Limit Sell 16-17,26343,9768,3029,529,2860,2136,1115,50,0,4,5,0,500,0,0
Limit Sell 17-18,41355,11142,1654,1071,1569,265,27,100,0,0,0,43,0,0,0
Cancel Buy 10-11,73516,70329,15508,5372,3071,1813,2282,6993,309,0,1058,169,2040,0,53
Cancel Buy 11-12,96413,112264,57481,12408,11387,5452,2024,3169,1088,0,1,511,0,21,0
Cancel Buy 12-13,65286,38665,6169,1821,2249,3855,0,0,0,1389,0,120,0,0,0
Cancel Buy 14-15,135817,44633,36338,16255,12451,667,0,7586,6527,0,0,0,0,0,0
Cancel Buy 15-16,53265,50799,8372,406,6103,5480,772,1222,0,9238,10,0,0,0,0
Cancel Buy 16-17,99870,78381,18855,15568,3034,6021,340,961,1,802,4033,14959,0,679,0
Cancel Buy 17-18,148894,90082,70390,11601,8161,4259,3423,21026,650,1256,806,35,0,11,2178
Cancel Sell 10-11,58475,68974,36823,28660,21217,15538,5734,10991,402,7157,450,144,17219,1077,0
Cancel Sell 11-12,67749,55641,24995,6039,41348,9380,0,0,0,9522,0,0,0,0,0
Cancel Sell 12-13,46447,48772,21304,35423,37284,18920,24766,0,0,9843,15,0,295,0,0
Cancel Sell 14-15,214390,86082,126727,14122,14659,21830,6568,3556,4,0,0,0,0,0,0
Cancel Sell 15-16,64798,25707,10887,17062,7049,16056,2813,1712,0,171,1718,193,3415,21912,0
Cancel Sell 16-17,109601,75474,53726,24976,34153,35581,178,2508,0,952,5323,0,0,0,0
Cancel Sell 17-18,154514,49668,15438,24342,3167,1744,13630,6321,5649,26383,5113,11817,9372,386,0
